country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",19-01-2026 08:00,17.72,83.3,CO,14,81,49
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB",19-01-2026 08:00,27.103358,93.679645,NO2,6,7,7
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",19-01-2026 08:00,25.204762,85.51496,SO2,10,10,10
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",19-01-2026 08:00,25.56752,83.966379,PM10,105,213,136
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",19-01-2026 08:00,25.56752,83.966379,NH3,3,3,3
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",19-01-2026 08:00,25.7808257,84.7446768,PM2.5,NA,NA,NA
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",19-01-2026 08:00,25.7808257,84.7446768,NO2,NA,NA,NA
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",19-01-2026 08:00,24.7955,84.9994,SO2,NA,NA,NA
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",19-01-2026 08:00,25.697189,85.2459,PM10,84,372,160
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",19-01-2026 08:00,25.697189,85.2459,NO2,16,62,37
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",19-01-2026 08:00,25.560083,87.553265,OZONE,21,27,24
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",19-01-2026 08:00,27.308328,84.531742,NO2,4,12,6
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",19-01-2026 08:00,26.446912,91.439057,SO2,7,8,8
India,Assam,Silchar,"Tarapur, Silchar - PCBA",19-01-2026 08:00,24.82827,92.79525,SO2,4,5,5
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",19-01-2026 08:00,26.146529,87.454184,PM10,38,143,97
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",19-01-2026 08:00,26.146529,87.454184,NO2,1,14,5
